timestamp,bid,ask,spread
2025-08-06 21:32:15,nan,nan,nan
2025-08-06 21:32:16,nan,nan,nan
2025-08-06 21:32:16,1.16605,1.16606,1e-05
2025-08-06 21:32:17,1.16603,1.16605,2e-05
2025-08-06 21:32:18,1.16606,1.16607,1e-05
2025-08-06 21:32:18,1.16605,1.16608,3e-05
2025-08-06 21:32:19,1.16605,1.16607,2e-05
2025-08-06 21:32:19,1.16605,1.16608,3e-05
2025-08-06 21:32:21,1.16606,1.16608,2e-05
2025-08-06 21:32:22,1.16606,1.16607,1e-05
2025-08-06 21:32:22,1.16605,1.16607,2e-05
2025-08-06 21:32:23,1.16606,1.16607,1e-05
2025-08-06 21:32:24,1.16606,1.16608,2e-05
2025-08-06 21:32:24,1.16606,1.16607,1e-05
2025-08-06 21:32:25,1.16608,1.16609,1e-05
2025-08-06 21:32:26,1.16608,1.1661,2e-05
2025-08-06 21:32:31,1.16607,1.16609,2e-05
2025-08-06 21:32:40,1.16608,1.1661,2e-05
2025-08-06 21:32:43,1.16609,1.1661,1e-05
2025-08-06 21:32:44,1.16609,1.16611,2e-05
2025-08-06 21:32:46,1.16612,1.16613,1e-05
2025-08-06 21:32:49,1.16611,1.16613,2e-05
2025-08-06 21:32:51,1.1661,1.16611,1e-05
2025-08-06 21:32:51,1.16609,1.1661,1e-05
2025-08-06 21:32:54,1.16608,1.1661,2e-05
2025-08-06 21:32:56,1.16609,1.1661,1e-05
2025-08-06 21:32:58,1.16609,1.16611,2e-05
2025-08-06 21:32:59,1.16609,1.1661,1e-05
2025-08-06 21:33:00,1.16608,1.1661,2e-05
2025-08-06 21:33:07,1.16608,1.16611,3e-05
2025-08-06 21:33:07,1.16608,1.1661,2e-05
2025-08-06 21:33:08,1.16608,1.16611,3e-05
2025-08-06 21:33:11,1.16608,1.1661,2e-05
2025-08-06 21:33:12,1.16609,1.16611,2e-05
2025-08-06 21:33:13,1.16608,1.16611,3e-05
2025-08-06 21:33:14,1.16609,1.16611,2e-05
2025-08-06 21:33:14,1.16608,1.16611,3e-05
2025-08-06 21:33:22,1.16608,1.1661,2e-05
2025-08-06 21:33:25,1.16608,1.16609,1e-05
2025-08-06 21:33:26,1.16608,1.1661,2e-05
2025-08-06 21:33:27,1.16607,1.1661,3e-05
2025-08-06 21:33:37,1.16606,1.16607,1e-05
2025-08-06 21:33:37,1.16607,1.16609,2e-05
2025-08-06 21:33:38,1.16606,1.16608,2e-05
2025-08-06 21:33:38,1.16605,1.16607,2e-05
2025-08-06 21:33:39,1.16603,1.16605,2e-05
2025-08-06 21:33:53,1.16603,1.16606,3e-05
2025-08-06 21:33:54,1.16603,1.16605,2e-05
2025-08-06 21:33:56,1.16602,1.16605,3e-05
2025-08-06 21:33:56,1.16603,1.16605,2e-05
2025-08-06 21:33:58,1.16602,1.16605,3e-05
2025-08-06 21:33:59,1.16605,1.16606,1e-05
2025-08-06 21:34:00,1.16603,1.16606,3e-05
2025-08-06 21:34:01,1.16603,1.16605,2e-05
2025-08-06 21:34:03,1.16606,1.16607,1e-05
2025-08-06 21:34:04,1.16607,1.16609,2e-05
2025-08-06 21:34:05,1.16606,1.16609,3e-05
2025-08-06 21:34:05,1.16607,1.16609,2e-05
2025-08-06 21:34:11,1.16607,1.16608,1e-05
2025-08-06 21:34:11,1.16606,1.16608,2e-05
2025-08-06 21:34:14,1.16606,1.16609,3e-05
2025-08-06 21:34:14,1.16606,1.16607,1e-05
2025-08-06 21:34:15,1.16605,1.16607,2e-05
2025-08-06 21:35:20,1.16605,1.16605,0.0
2025-08-06 21:35:21,1.16603,1.16604,1e-05
2025-08-06 21:35:23,1.16602,1.16603,1e-05
2025-08-06 21:35:27,1.16601,1.16603,2e-05
2025-08-06 21:35:28,1.16602,1.16603,1e-05
2025-08-06 21:35:29,1.16601,1.16603,2e-05
2025-08-06 21:35:30,1.16602,1.16603,1e-05
2025-08-06 21:35:30,1.16601,1.16603,2e-05
2025-08-06 21:35:35,1.16598,1.166,2e-05
2025-08-06 21:35:35,1.166,1.16602,2e-05
2025-08-06 21:35:36,1.16601,1.16602,1e-05
2025-08-06 21:35:37,1.166,1.16602,2e-05
2025-08-06 21:35:38,1.16602,1.16603,1e-05
2025-08-06 21:35:39,1.16603,1.16604,1e-05
2025-08-06 21:35:39,1.16601,1.16603,2e-05
2025-08-06 21:35:41,1.16598,1.166,2e-05
2025-08-06 21:35:41,1.166,1.16602,2e-05
2025-08-06 21:35:43,1.16601,1.16603,2e-05
2025-08-06 21:35:50,1.16602,1.16604,2e-05
2025-08-06 21:35:51,1.16603,1.16605,2e-05
2025-08-06 21:36:09,1.16603,1.16604,1e-05
2025-08-06 21:36:13,1.16601,1.16603,2e-05
2025-08-06 21:36:14,1.16602,1.16603,1e-05
2025-08-06 21:36:22,1.166,1.16601,1e-05
2025-08-06 21:36:23,1.166,1.16602,2e-05
2025-08-06 21:36:26,1.16601,1.16602,1e-05
2025-08-06 21:36:29,1.166,1.16602,2e-05
2025-08-06 21:36:29,1.16602,1.16604,2e-05
2025-08-06 21:36:30,1.16603,1.16604,1e-05
2025-08-06 21:36:31,1.16603,1.16605,2e-05
2025-08-06 21:36:33,1.16602,1.16604,2e-05
2025-08-06 21:36:35,1.16601,1.16603,2e-05
2025-08-06 21:36:36,1.16602,1.16603,1e-05
2025-08-06 21:36:42,1.16602,1.16604,2e-05
2025-08-06 21:37:03,1.16601,1.16604,3e-05
2025-08-06 21:37:05,1.16602,1.16604,2e-05
2025-08-06 21:37:06,1.16601,1.16604,3e-05
2025-08-06 21:37:06,1.16602,1.16604,2e-05
2025-08-06 21:37:07,1.16601,1.16604,3e-05
2025-08-06 21:37:09,1.16602,1.16604,2e-05
2025-08-06 21:37:10,1.16605,1.16607,2e-05
2025-08-06 21:37:11,1.16606,1.16607,1e-05
2025-08-06 21:37:12,1.16603,1.16605,2e-05
2025-08-06 21:37:13,1.16605,1.16606,1e-05
2025-08-06 21:37:20,1.16603,1.16605,2e-05
2025-08-06 23:24:41,nan,nan,nan
2025-08-06 23:24:42,nan,nan,nan
2025-08-06 23:24:42,nan,nan,nan
2025-08-06 23:24:43,1.16539,1.16578,0.00039
